,title,brand,price,rating,reviewCount,description,categories
57,Collar Neck T-Shirt for Men's,GROVEY,575,Previous page,,"GROVEY is a youthful and strong design brand, which brings to you the most recent patterns in men's style. We try to encapsulate and bring the right harmony among style and solace in our items. In the present quick moving world, our undertaking is to advance and separate our product offering to take care of the pattern setting age. Keeping our client's joy as our essential objective, we are truly endeavouring to send off novel styles and enhancing India's design cognizant closets.",Mens-wear
58,Regular Fit Polo,Bigbanana,665,Previous page,,,Mens-wear
59,T Shirt,BAGHADBILLO,449,3.7,3,"Shop from a wide range of T-Shirt from BAGHADBILLO. Perfect for your everyday use, you could pair it with a stylish pair of Jeans or Trousers complete the look.",Mens-wear
60,Men Polo Shirt,Tommy Hilfiger,"1,989",Previous page,,IM 1985 REGULAR POLO,Mens-wear
61,Young Men Minecraft Printed Green Tshirt,Free Authority,499,4.0,1,Young Men Minecraft Printed Green Tshirt,Mens-wear
62,Men Polo Shirt,Allen Solly,719,4.4,7,Ace weekend dressing in this grey patterned Polo Neck T-shirt from Allen Solly by Allen Solly.,Mens-wear
63,Men's Navy Round Neck T-Shirt,Red Tape,279,4.0,41,"In our Navy casual t-shirt, you may flaunt a unique sporty look. The overall appearance is enhanced with casual fit Wear them anywhere you want to be comfortable while maintaining a feeling of flair. Features ·Colour: Navy ·Fit: Casual ·Fabric Type: Knits ·Occasion: Casual ·Fabric details: single jersey,100% cotton,165 gsm ·Neck: Round Neck ·Sleeves: Half Sleeves ·Wash care: Machine wash with similar colours ·Pattern: Graphic ·Gender: Men ·Pocket: N/A",Mens-wear
64,"1500244 Men's Passion Full Sleeve Polyester Cricket T-Shirt (Size 34, White/Navy)",DSC,673,3.9,7,,Mens-wear
65,"Men’s Crew Neck Color Block Regular Fit T-Shirt, Bamboo Cotton, Half Sleeves T-Shirts for Men with Graphic Logo",Lavos,949,Previous page,,,Mens-wear
66,Cricket Jersey,Daily Orders,399,3.8,11,"Try This Premium 100% Polyester all over printed Men's sports jersey T shirt with option to customise the t shirt with team name, name and number. T shirts at such an affordable price! We have the largest selection of tees for you to choose from. These t shirts are best suited for all kind of outdoor and indoor sports like cricket jersey, kabaddi jersey, soccer t shirt, football jersey … All of our t-shirts are made with Best quality Polyester; extremely comfy to wear. Our products are Made in INDIA.",Mens-wear
67,Men T-Shirt,Amazon Brand - Symbol,539,3.9,7,"An Amazon brand, Symbol is built on the pillars of quality, reliability and affordability to offer you lifestyle essentials that never go out of fashion. Symbol clothing and footwear is available in comfortable fits and quality materials that are perfected to your liking.An updated classic t-shirt, in quality fabric and must have colors. Our range of t-shirts are designed to make you look stylish even when you sport an everyday essential look.",Mens-wear
68,T-shirt Tshirt T Shirt A,iberry's,699,3.6,7,"Transform your emotion into flaunting expressions by wearing iberrys cool collection that will adorn your mood each day. These tshirts are specially printed for pregnant women, our maternity t-shirts are always the perfect fit for your baby bump. Find funny maternity maternity/pregnancy tees for your BUMPy days ahead.",Mens-wear
69,Regular Polo Shirt,Van Heusen,759,3.6,5,Look suave and stylish in this solid Polo Neck T-shirt from VH Innerwear by Van Heusen.,Mens-wear
70,Gojo Sensei Anime T-shirt,Wear Shop,499,Previous page,,"All our products are crafted passionately with Love and Care for our beloved customers. We provide a variety of products in a wide range of different brands to cater to the needs of present generation youth. When you need some new basic anime printed T-Shirt to allow your statement pieces to shine or some cool and best designs to flaunt your fashion and attitude you can always trust our products.Suitable for casual wear, outdoor, daily, school, working, camping, sports, athletics, and so on. Fits to wear with pants, jogger trousers, sweatpants, sneakers, or running shoes.",Mens-wear
71,Men's Printed T-shirt,WC Right,230,4.1,9,"Refresh your clothing with this awesome and stylish white colour round neck graphic printed T-shirt for mens from WC RIGHT.Best way to look cool and comfortable and pair it with jeans or shorts for the perfect casual & Sports wear.This product is made of Polyster Dri-Fit and its remain cool,dry & all day comfortable.",Mens-wear
72,|Official Minions: Easily Unimpressed Mens and Boys T-Shirts| Regular fit Graphic Printed| 65% Cotton 35% Polyester Grey Color Men T-Shirts,The Souled Store,734,Previous page,,,Mens-wear
73,Regular Polo Shirt,Van Heusen,881,Previous page,,Look suave and stylish in this Blue Solid Polo Neck T-shirt from Van Heusen by Van Heusen.,Mens-wear
74,Regular Shirt,Marks & Spencer,899,4.2,17,Marks and Spencer men's topwear,Mens-wear
75,Regular Fit Polo,Levi's,659,3.9,7,The polo shirt is an enduring silhouette with endless functionality. It gives you the comfort of a tee; but is upgraded with refined details for a slightly stepped-up look.,Mens-wear
76,Positivity Sports Kane Football Jersey White 2022-23 and Atletico Madrid Jersey 2022/2023,Generic,519,Previous page,,The Replica Jersey is finally here and here is your chance to represent your favorite team like a true fan! Let everyone around you know that you are part of the pride by donning this jersey!!!,Mens-wear
77,J-hope On The Street Cool Black T-shirt,The Korhean Store,479,5.0,3,"Actual product may slightly differ from digital images. Material: 100% Cotton (180 gsm Bio-Washed & Pre-Shrunk for Minimum shrinkage) Wash Care: Cold wash. Machine wash, use mild detergent, dry in shade, do not iron directly or scrub on print, do not bleach, and do not tumble dry. Size: Sizes may vary by +/- 0.5 inches and it totally considered normal.",Mens-wear
78,Regular Fit T-shirt,VIMAL JONNEY,249,3.5,895,,Mens-wear
79,Olive Full Sleeve Pure Cotton Hoodie T-Shirt for Men,BOONS N PERKKS,475,Previous page,,"Durable stitch and quality finish. This t-shirt is stitched for higher durability using the best technology in the industry. Manufactured from cotton fabric, this t-shirt is very smooth and soft making it comfortable to wear during all seasons. This fabric is durable, odorless and passed through anti fading treatment which ensures the t-shirt color to be intact even after repeated washes.",Mens-wear
80,Men's T-shirts,Spykar,798,1.0,1,TYPOGRAPHIC GRAPHIC TEE WITH WOVEN BRANDING LABEL ON SLEEVE HAS ROUND AND SHORT SLEEVE,Mens-wear
81,Medium Orange T-Shirts,Parx,713,Previous page,,S/J MERCERISED PRINTED POLO,Mens-wear
82,Men's Regular T-shirt,Adidas,399,3.6,86,"Adidas sells a range of clothing items, varying from men's and women's t-shirts, jackets, hoodies, pants and leggings. The adidas brand offers apparel for every sport, every fashion, every style, whether you are an athlete or fashionista. Aeroready at back hem and adidas logo at front body with crew neck style",Mens-wear
83,This is My 2nd time Turning 25 Poly Cotton Unisex tee Gift for 50th Birthday (X-Large 42) Black,Generic,414,4.0,13,,Mens-wear
84,"Statue of Liberty Girl Power Men/Women Tshirt, 100% Cotton Regular Fit Graphic Printed Tshirt, Plus Size Collection, Sizes S-7XL, All Plus Sizes",Toodlegram,799,5.0,2,"Our truly Toodlegram Plus Size T-shirts features a loose fit, ribbing at the neck, vertical stitching at the sleeve, a standard hem and is finished in a vintage wash for improved hand-feel and color. 100% cotton fabric Made from 180GSM ring spun cotton.The point of our all plus size t-shirts is to basically have as many t-shirts as possible to wear on a daily basis, like a no-brainer, go-to outfit.",Mens-wear
85,Sports Men Navy and White Cotton Colour Block Polo Shirt,Arrow,854,Previous page,,"Add to your wardrobe this classic polo shirt from Arrow. It is the perfect combination of comfort and casual and is tailored to fit you to perfection. Featuring short sleeves and a sombre colour to add to your vibe, these tees go best with a pair of straight denims and sneakers.",Mens-wear
86,Holi Special Cotton Shirt,JUNEBERRY,349,Previous page,,"JUNEBERRY is one of the leading Indian online garment brand that offers exclusive range of fashions for Womens & Girls. We provide an ultimate T-shirt fashion meticulously crafted with Cotton fabric and blend. We have wide range of T-shirts & Tops, Jackets, Sweatshirt, Co-Ords, Trackpants & Shorts with good quality fabric for our customers which gives a perfect comfort and style. Our motto is to provide trending and fashionable products made of good materials from the market.",Mens-wear
87,Men's Regular T-shirt,Puma,"2,599",3.3,5,Pique polo with a strong MAPF1 DNA showntwo tone flatknit MAPF1 wording on collar;hidden button placketSpectra green bar tacksregular fit; piqueMAPF1 Badge and PUMA Cat logo on chest,Mens-wear
88,Plus Size Men's Cotton Tank T-shirt,JOHN PRIDE,"1,049",Previous page,,John Pride Plus Size Men's Blue Cotton Round Neck Solid Tank T-Shirt (JPTSRT3013),Mens-wear
89,Men's T-Shirt (ALKCVSGFY61905_Pink 2XL),Allen Solly,359.,Previous page,,Allen Solly Casual Crew neck Tshirt,Mens-wear
90,Regular Polo Shirt,Levi's,"1,259",3.9,8,"Give your off-duty attire a lift by wearing the stylish and relaxed Levi's Polo Tee. Made from premium quality material with a polo collar and short sleeves, this regular fit polo t-shirt has a striped pattern. Complement this polo t-shirt with your favourite jeans for a dressed down look.",Mens-wear
91,Printed Cotton Shirt,Just Pure,199,Previous page,,"Holi Graphics Printed T Shirt Cotton White Color (Free size for above 16 Years) Random Design 1Pc for Holi Celebration Fit Type: Regular Fit Colour: White ( Round Neck. Regular fit with half sleeve ) T shirt Fit Type : Men's Slim Fit , Bio-Wash and Soft Feeling for Great Comfort",Mens-wear
92,Regular T-shirt,Colt by Unlimited,291,Previous page,,"Liven up your casual assortments with this trendy t-shirt. Crafted from a soft fabric, they feature a crew neck and short sleeves. Wear it with ripped jeans and sneakers.",Mens-wear
93,Regular Polo,U.S. POLO ASSN.,429,4.2,3,"HALF SLEEVE COLLAR TEE, L",Mens-wear
94,Polo Shirt,BISHOP COTTON,299,3.9,196,BISHOP COTTON Men's Polyester Royal Blue Striper Half Sleeve Polo T-shirt,Mens-wear
95,Graphic Printed Tshirt,OPLU,697,3.6,4,,Mens-wear
96,Solid Hooded Shirt,Blisstone,359,3.5,7,Blisstone collection bring fos you this T's. this can be easily worn when heading out for a crazy day ahead with friends. Pull-up Jeans and leather flip-flops with this comfortable T as you head out for a wild outing,Mens-wear
97,T-shirt Printed White,TheYaYaCafe,399,No reviews,,,Mens-wear
98,Positive Sports GUJARAT Titans 2022 IPL Jersey Full Sleeves,Generic,399,New to Amazon,,The Replica Jersey is finally here and here is your chance to represent your favorite team like a true fan! Let everyone around you know that you are part of the pride by donning this jersey!!!,Mens-wear
99,Cotton T-shirt,Duke,592,4.4,7,Sometimes dressing up can be a bit much for the occasion. That's why you should consider one of these amazing T-shirts the house of Duke. You'll feel entirely at ease in this piece on top of a relaxed-fit chino and slip-on tennis shoe when you're going out shopping or catching a movie.,Mens-wear
100,Tee Shirt,Proline,459,1.0,1,Colors Black Graphic Tee Shirt,Mens-wear
101,Printed Round Neck T-shirt,LABEL MN,487,4.0,7,,Mens-wear
102,Boys' T-shirt,Bon Organik,276,3.9,187,"The festival of Rakshabandhan is all about celebrating the eternal bond of love between siblings. This Rakhi, we at Bonorganik, have curated a special collection to celebrate this bond shared between siblings. Twin with your brothers and sisters in these supercomfortable and trendy t-shirts made of 100% Cotton. Our products are stitched toperfection and made to provide you with absolute comfort. Don’t wait any longer! Get yourhands on this colorfulmerchandise today!",Mens-wear
103,Men's Regular T-shirt,Adidas,779,3.6,10,"Adidas sells a range of clothing items, varying from men's and women's t-shirts, jackets, hoodies, pants and leggings. The adidas brand offers apparel for every sport, every fashion, every style, whether you are an athlete or fashionista. Short sleeve t-shirt with comfortable fit and crew neck style",Mens-wear
