,title,brand,price,rating,reviewCount,description,categories
41,Printed Polyester Round Neck Casual T-Shirt I Love My India (Small 36) White,Designer Unicorn,449,Previous page,,"About Brand- Designer Unicorn is a dream started by a young Indian Graphic Designer who likes all things Quirky! We sell Designer Products to make every occasion a joyful experience. ; polycotton is a high-performance, microfiber that moves sweat away from the body and to the fabric surface, where it evaporates. As a result, it keeps you dry and comfortable and is a perfect way to keep yourself cool in summers.",Mens-wear
42,Unisex Cotton Blend Slim Fit Jatayu Ar Tang Maat Koro Bengali Text & Bengali Qoute Printed Funny Half Sleeve T-Shirt,ZOOM DIGITAL,499,5.0,1,"ZOOM DIGITAL can offer to its consumers with all photographic services such as – Photo Frames / Photo Gifts / Photo Taking in-door & out-door as well as newly launched customized Mugs & T-Shirt. It is a complete solutions of photographic domain.   This is another unique yet trendy product that are widely used by all for various purposes.   Our only aim is to provide you with the quality that is beyond comparison and the most exciting element is that this too can be customized befitting to one’s own requirement.  Superior quality print is used to make your memories to last long.   Wash Care: Machine wash, Wash in cold water, use mild detergent, dry in shade, do not iron directly or scrub on print, do not bleach.  So let’s create a memory that you can wear it and cherish along",Mens-wear
43,Men's Regular T-Shirt,United Colors of Benetton,709,Previous page,,United Colors of Benetton_ mens_3099J7114I_903_M_T-shirt,Mens-wear
44,"Nivia Hydra_16 Round Neck T-Shirt for Men (Royal Blue,L)",Nivia,384.,Previous page,,Suitable for mens; comfortable wear; Regular fit t-shirt,Mens-wear
45,Men T-Shirt,Oxemberg,249,Previous page,,"Perfect for a long evening or a gathering that extends past midnight, this T-shirt by Oxemberg has you covered. The trendy T-shirt makes the required style statement and its pique fabric makes it durable and adds detaling to the texture. This t-shirt is the perfect colour for summers. Its comparitively thicker pique fabric makes sure your underarms show less sweat, so that you have a great time without worying about anything.",Mens-wear
46,Men's Polo T-Shirt White & Blue Colour Block Half Sleeve T-Shirt,Neomax,"1,499",Previous page,,Neomax Presents Premium Quality Men's Polo T-Shirt with 100% Premium Cotton for unparalleled Comfort. Wear This T-Shirt with a Denim or Chino. By wearing this t-shirt it gives a stylish look and great comfort. Fill your wardrobe with beautiful and stylish collections of blive tshirts. Trusted brand online and no compromise on quality.,Mens-wear
47,™ Combo t Shirts for Men | Pack of 3 t Shirts for Men Cotton | Round Neck t Shirts for Men (Pack of 3),KAVIT HUB,999,4.0,1,"Kavit Hub T-shirts are made up of 100% cotton. We use threads of finest quality to develop superb fabrics that makes us the most preferred choice when it comes to opt for clothing brand in India. Choosing a T-shirt for men and women is not that easy when you are ordering by just viewing an image on online marketplaces because you have to be very sure about the quality of the fabrics. It's not only the quality of threads and colors which are important, quality stitching of the Tshirts are is also very important, and the reason behind is that men are always very sporty. Being a reputed company in men's wear, we always keep a check on quality at our warehouse.",Mens-wear
48,Men's Polo T-Shirt White & Blue Colour Block Half Sleeve T-Shirt,Neomax,"1,499",No reviews,,Neomax Presents Premium Quality Men's Polo T-Shirt with 100% Premium Cotton for unparalleled Comfort. Wear This T-Shirt with a Denim or Chino. By wearing this t-shirt it gives a stylish look and great comfort. Fill your wardrobe with beautiful and stylish collections of blive tshirts. Trusted brand online and no compromise on quality.,Mens-wear
49,™ Combo t Shirts for Men | Pack of 3 t Shirts for Men Cotton | Round Neck t Shirts for Men (Pack of 3),KAVIT HUB,999,4.0,1,"Kavit Hub T-shirts are made up of 100% cotton. We use threads of finest quality to develop superb fabrics that makes us the most preferred choice when it comes to opt for clothing brand in India. Choosing a T-shirt for men and women is not that easy when you are ordering by just viewing an image on online marketplaces because you have to be very sure about the quality of the fabrics. It's not only the quality of threads and colors which are important, quality stitching of the Tshirts are is also very important, and the reason behind is that men are always very sporty. Being a reputed company in men's wear, we always keep a check on quality at our warehouse.",Mens-wear
50,Hanumanji Printed T-Shirt for Men Jai Shri Ram t Shirt | Lord Hanuman T Shirt | 100% Cotton T Shirt | Half Sleeve Tees,WILDSTA,499,5.0,11,,Mens-wear
51,Men's Slim Fit T-Shirt,Wrangler,639,3.5,7,Wrangler Polo Tees Solids,Mens-wear
52,Polyester Solid Color Half Sleeve Jersey with Round Collar for Men (Color: Yellow),JJ TEES,269,3.8,5,,Mens-wear
53,Men T-Shirt,KILLER,339,3.1,46,KILLER MENS T-SHIRTS,Mens-wear
54,The Fabshopper Cotton Jesus Cross White Round Neck T-Shirt for Men's,THE FAB SHOPPER,333,4.0,2,"The Fabshopper Cotton Jesus Cross White Round Neck T-Shirt for Men's, while having good quality for fabric ,Chest Size S-37, M-39, L-42, XL-44 .",Mens-wear
55,Unisex Anime Printed Regular Fit Cotton T-Shirt|(CSM-04),INDISSH,599,No reviews,,"INDISSH  Printed Half-Sleeve Round Neck Unisex T-shirtMaterial - Cotton,         Pattern - Printed, Sleeves - Half Sleeves,  Closure Type: Pull-On,                 Collar Style: CollarlessMade from high-quality 100% cotton, this classic fit t-shirt features a round neck & half sleeves. Perfect for Casual, Evening, Holiday & Party Wear. Men and Women can wear this shirt for regular and casual occasions. Can be worn in daily wear, at a birthday party, family parties, or out with friends and family. This T-shirt with printed graphics gives a trendy yet casual look. Durable stitching and Quality finish make this product a must-have in your wardrobe.Always true to size and machine washable, our products are designed to last. Crafted and Proudly Made in India. Please refer to the ""size chart"" to select your size. Size Chart: We follow standard size charts for all our products. You Can see size chars in the images section.For More Stylish & Printed T-shirts Head On To Our Brand INDISSH",Mens-wear
56,Head Music - BD,Tantra,699,4.0,2,,Mens-wear
